# Helios moisture-pickup test  started=20260610_162308
# specimen=3.0g  treatment=Expedry 2.16 - Frame A  species=800 GDD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,185.9,38.3,-0.08
1.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,184.6,38.2,-0.07
2.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,185.4,38.4,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,185.4,38.4,-0.08
4.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,185.4,38.3,-0.08
5.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,185.0,38.3,-0.08
6.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,184.6,38.3,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,184.6,38.3,-0.08
8.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,184.6,38.4,-0.07
9.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,184.6,38.3,-0.08
10.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,83.1,184.6,38.3,-0.08
11.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.7,38.3,-0.08
12.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,184.1,38.3,-0.08
13.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.7,38.4,-0.08
14.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.7,38.4,-0.07
15.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,182.8,38.5,-0.08
16.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.7,38.5,-0.08
17.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.7,38.4,-0.08
18.1,SETTLE-BASELINE,0.000,0.000,0.0,33.0,83.1,184.1,38.5,-0.07
19.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.2,38.6,-0.05
20.1,SETTLE-BASELINE,0.000,0.000,0.0,32.9,83.1,183.2,38.5,-0.07
21.1,SETTLE-BASELINE,0.000,0.000,0.0,33.0,83.1,182.8,38.6,-0.07
22.1,SETTLE-BASELINE,0.000,0.000,0.0,33.0,83.1,182.8,38.5,-0.07
23.1,SETTLE-BASELINE,0.000,0.000,0.0,33.0,83.1,182.3,38.5,-0.08
24.1,SETTLE-BASELINE,0.000,0.000,0.0,33.0,83.1,182.8,38.6,-0.08
